"filename", "language", "Markdown", "JSON", "Dart", "YAML", "C++", "HTML", "CMake", "Swift", "XML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timgrid_controller.dart", "Dart", 0, 0, 207, 0, 0, 0, 0, 0, 0, 0, 0, 44, 50, 301
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame.dart", "Dart", 0, 0, 146, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 170
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame_controller.dart", "Dart", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 66
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\time_line\time_line.dart", "Dart", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 20
"c:\Users\49440\Desktop\Time-Tracker\linux\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 75, 0, 0, 0, 0, 38, 27, 140
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 13, 10, 89
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 6, 25
"c:\Users\49440\Desktop\Time-Tracker\linux\main.cc", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\49440\Desktop\Time-Tracker\linux\my_application.cc", "C++", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\Users\49440\Desktop\Time-Tracker\linux\my_application.h", "C++", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\49440\Desktop\Time-Tracker\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3, 4, 17
"c:\Users\49440\Desktop\Time-Tracker\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\49440\Desktop\Time-Tracker\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\49440\Desktop\Time-Tracker\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\49440\Desktop\Time-Tracker\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\49440\Desktop\Time-Tracker\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\49440\Desktop\Time-Tracker\pubspec.yaml", "YAML", 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 60, 18, 106
"c:\Users\49440\Desktop\Time-Tracker\web\index.html", "HTML", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\Users\49440\Desktop\Time-Tracker\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\49440\Desktop\Time-Tracker\windows\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 25, 19, 103
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 84, 0, 0, 0, 0, 14, 12, 110
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 4, 5, 15
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 3, 6, 25
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\CMakeLists.txt", "CMake", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 12, 7, 41
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\flutter_window.cpp", "C++", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\flutter_window.h", "C++", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\main.cpp", "C++", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\resource.h", "C++", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\utils.cpp", "C++", 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\utils.h", "C++", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\win32_window.cpp", "C++", 0, 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\49440\Desktop\Time-Tracker\windows\runner\win32_window.h", "C++", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 13, 248, 2598, 32, 538, 38, 338, 56, 463, 8, 94, 578, 759, 5763
