"filename", "language", "C++", "YAML", "CMake", "Swift", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timegrid.dart", "Dart", 0, 0, 0, 0, -241, 0, -19, -48, -308
"c:\Users\49440\Desktop\Time-Tracker\lib\page\timegrid\widget\timegrid\timgrid_controller.dart", "Dart", 0, 0, 0, 0, -173, 0, -52, -52, -277
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 3, 11
"c:\Users\49440\Desktop\Time-Tracker\lib\widget\framwork\pc_ui_frame_controller.dart", "Dart", 0, 0, 0, 0, -2, 0, 6, 0, 4
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugin_registrant.cc", "C++", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\49440\Desktop\Time-Tracker\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\49440\Desktop\Time-Tracker\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\49440\Desktop\Time-Tracker\pubspec.yaml", "YAML", 0, 7, 0, 0, 0, 0, 0, 3, 10
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 3
"c:\Users\49440\Desktop\Time-Tracker\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 1, 0, 0, 0, 0, 0, 1
"Total", "-", 7, 7, 2, 6, 615, 81, 117, 128, 963
